Fecha;Abrir;Máx.;Mín.;Cierre;Cierre ajus
25/06/2023;1,0907;1,0922;1,0888;1,0907;1,0907
22/06/2023;1,0959;1,0959;1,0845;1,0959;1,0959
21/06/2023;1,0993;1,1011;1,0951;1,0993;1,0993
20/06/2023;1,092;1,0961;1,0907;1,092;1,092
19/06/2023;1,0924;1,0945;1,0895;1,0924;1,0924
18/06/2023;1,0942;1,0949;1,0911;1,0942;1,0942
15/06/2023;1,0946;1,0971;1,092;1,0946;1,0946
14/06/2023;1,0843;1,0939;1,0804;1,0843;1,0843
13/06/2023;1,0789;1,0858;1,0776;1,0789;1,0789
12/06/2023;1,0763;1,0823;1,0761;1,0763;1,0763
11/06/2023;1,0751;1,079;1,0734;1,0751;1,0751
08/06/2023;1,0783;1,0787;1,0748;1,0783;1,0783
07/06/2023;1,0707;1,0783;1,0702;1,0707;1,0707
06/06/2023;1,0698;1,074;1,0669;1,0698;1,0698
05/06/2023;1,0712;1,0733;1,0667;1,0712;1,0712
04/06/2023;1,0699;1,0723;1,0675;1,0699;1,0699
01/06/2023;1,0761;1,0779;1,0718;1,0761;1,0761
31/05/2023;1,0695;1,0754;1,0664;1,0695;1,0695
30/05/2023;1,0733;1,0739;1,0652;1,0733;1,0733
29/05/2023;1,0708;1,0746;1,0673;1,0708;1,0708
28/05/2023;1,0723;1,0746;1,0706;1,0723;1,0723
25/05/2023;1,0724;1,0758;1,0702;1,0724;1,0724
24/05/2023;1,0757;1,0754;1,071;1,0757;1,0757
23/05/2023;1,077;1,0799;1,075;1,077;1,077
22/05/2023;1,0811;1,0821;1,0764;1,0811;1,0811
21/05/2023;1,0823;1,0831;1,0797;1,0823;1,0823
18/05/2023;1,0775;1,0824;1,0761;1,0775;1,0775
17/05/2023;1,0838;1,085;1,0765;1,0838;1,0838
16/05/2023;1,0866;1,0875;1,0812;1,0866;1,0866
15/05/2023;1,0874;1,0904;1,0857;1,0874;1,0874
14/05/2023;1,0853;1,0892;1,0849;1,0853;1,0853
11/05/2023;1,0912;1,0935;1,0856;1,0912;1,0912
10/05/2023;1,0984;1,0999;1,0901;1,0984;1,0984
